Time	Node	Type	Packets	
24	Node5	CacheMisses	0
24	Node6	CacheHits	0
24	Node6	CacheMisses	0
24	Node7	CacheHits	0
24	Node7	CacheMisses	780
24	Node8	CacheHits	0
24	Node8	CacheMisses	804
25	Node0	CacheHits	0
25	Node0	CacheMisses	775
25	Node1	CacheHits	139
25	Node1	CacheMisses	739
25	Node2	CacheHits	0
25	Node2	CacheMisses	0
25	Node3	CacheHits	0
25	Node3	CacheMisses	0
25	Node4	CacheHits	0
25	Node4	CacheMisses	745
25	Node5	CacheHits	0
25	Node5	CacheMisses	0
25	Node6	CacheHits	0
25	Node6	CacheMisses	0
25	Node7	CacheHits	1
25	Node7	CacheMisses	742
25	Node8	CacheHits	0
25	Node8	CacheMisses	763
26	Node0	CacheHits	0
26	Node0	CacheMisses	804
26	Node1	CacheHits	140
26	Node1	CacheMisses	760
26	Node2	CacheHits	0
26	Node2	CacheMisses	0
26	Node3	CacheHits	0
26	Node3	CacheMisses	0
26	Node4	CacheHits	0
26	Node4	CacheMisses	761
26	Node5	CacheHits	0
26	Node5	CacheMisses	0
26	Node6	CacheHits	0
26	Node6	CacheMisses	0
26	Node7	CacheHits	0
26	Node7	CacheMisses	765
26	Node8	CacheHits	0
26	Node8	CacheMisses	773
27	Node0	CacheHits	0
27	Node0	CacheMisses	799
27	Node1	CacheHits	145
27	Node1	CacheMisses	756
27	Node2	CacheHits	0
27	Node2	CacheMisses	0
27	Node3	CacheHits	0
27	Node3	CacheMisses	0
27	Node4	CacheHits	0
27	Node4	CacheMisses	754
27	Node5	CacheHits	0
27	Node5	CacheMisses	0
27	Node6	CacheHits	0
27	Node6	CacheMisses	0
27	Node7	CacheHits	1
27	Node7	CacheMisses	753
27	Node8	CacheHits	0
27	Node8	CacheMisses	777
28	Node0	CacheHits	0
28	Node0	CacheMisses	795
28	Node1	CacheHits	131
28	Node1	CacheMisses	748
28	Node2	CacheHits	0
28	Node2	CacheMisses	0
28	Node3	CacheHits	0
28	Node3	CacheMisses	0
28	Node4	CacheHits	0
28	Node4	CacheMisses	747
28	Node5	CacheHits	0
28	Node5	CacheMisses	0
28	Node6	CacheHits	0
28	Node6	CacheMisses	0
28	Node7	CacheHits	1
28	Node7	CacheMisses	749
28	Node8	CacheHits	0
28	Node8	CacheMisses	772
29	Node0	CacheHits	0
29	Node0	CacheMisses	809
29	Node1	CacheHits	150
29	Node1	CacheMisses	764
29	Node2	CacheHits	0
29	Node2	CacheMisses	0
29	Node3	CacheHits	0
29	Node3	CacheMisses	0
29	Node4	CacheHits	0
29	Node4	CacheMisses	764
29	Node5	CacheHits	0
29	Node5	CacheMisses	0
29	Node6	CacheHits	0
29	Node6	CacheMisses	0
29	Node7	CacheHits	2
29	Node7	CacheMisses	764
29	Node8	CacheHits	0
29	Node8	CacheMisses	780
30	Node0	CacheHits	0
30	Node0	CacheMisses	810
30	Node1	CacheHits	137
30	Node1	CacheMisses	753
30	Node2	CacheHits	0
30	Node2	CacheMisses	0
30	Node3	CacheHits	0
30	Node3	CacheMisses	0
30	Node4	CacheHits	0
30	Node4	CacheMisses	751
30	Node5	CacheHits	0
30	Node5	CacheMisses	0
30	Node6	CacheHits	0
30	Node6	CacheMisses	0
30	Node7	CacheHits	1
30	Node7	CacheMisses	752
30	Node8	CacheHits	0
30	Node8	CacheMisses	775
31	Node0	CacheHits	0
31	Node0	CacheMisses	807
31	Node1	CacheHits	144
31	Node1	CacheMisses	765
31	Node2	CacheHits	0
31	Node2	CacheMisses	0
31	Node3	CacheHits	0
31	Node3	CacheMisses	0
31	Node4	CacheHits	0
31	Node4	CacheMisses	768
31	Node5	CacheHits	0
31	Node5	CacheMisses	0
31	Node6	CacheHits	0
31	Node6	CacheMisses	0
31	Node7	CacheHits	0
31	Node7	CacheMisses	768
31	Node8	CacheHits	0
31	Node8	CacheMisses	788
32	Node0	CacheHits	0
32	Node0	CacheMisses	823
32	Node1	CacheHits	137
32	Node1	CacheMisses	775
32	Node2	CacheHits	0
32	Node2	CacheMisses	0
32	Node3	CacheHits	0
32	Node3	CacheMisses	0
32	Node4	CacheHits	0
32	Node4	CacheMisses	772
32	Node5	CacheHits	0
32	Node5	CacheMisses	0
32	Node6	CacheHits	0
32	Node6	CacheMisses	0
32	Node7	CacheHits	0
32	Node7	CacheMisses	772
32	Node8	CacheHits	0
32	Node8	CacheMisses	789
33	Node0	CacheHits	0
33	Node0	CacheMisses	835
33	Node1	CacheHits	142
33	Node1	CacheMisses	784
33	Node2	CacheHits	0
33	Node2	CacheMisses	0
33	Node3	CacheHits	0
33	Node3	CacheMisses	0
33	Node4	CacheHits	0
33	Node4	CacheMisses	789
33	Node5	CacheHits	0
33	Node5	CacheMisses	0
33	Node6	CacheHits	0
33	Node6	CacheMisses	0
33	Node7	CacheHits	0
33	Node7	CacheMisses	789
33	Node8	CacheHits	0
33	Node8	CacheMisses	811
34	Node0	CacheHits	0
34	Node0	CacheMisses	837
34	Node1	CacheHits	145
34	Node1	CacheMisses	777
34	Node2	CacheHits	0
34	Node2	CacheMisses	0
34	Node3	CacheHits	0
34	Node3	CacheMisses	0
34	Node4	CacheHits	0
34	Node4	CacheMisses	773
34	Node5	CacheHits	0
34	Node5	CacheMisses	0
34	Node6	CacheHits	0
34	Node6	CacheMisses	0
34	Node7	CacheHits	0
34	Node7	CacheMisses	768
34	Node8	CacheHits	0
34	Node8	CacheMisses	782
35	Node0	CacheHits	0
35	Node0	CacheMisses	794
35	Node1	CacheHits	141
35	Node1	CacheMisses	745
35	Node2	CacheHits	0
35	Node2	CacheMisses	0
35	Node3	CacheHits	0
35	Node3	CacheMisses	0
35	Node4	CacheHits	0
35	Node4	CacheMisses	742
35	Node5	CacheHits	0
35	Node5	CacheMisses	0
35	Node6	CacheHits	0
35	Node6	CacheMisses	0
35	Node7	CacheHits	0
35	Node7	CacheMisses	744
35	Node8	CacheHits	0
35	Node8	CacheMisses	754
36	Node0	CacheHits	0
36	Node0	CacheMisses	849
36	Node1	CacheHits	150
36	Node1	CacheMisses	788
36	Node2	CacheHits	0
36	Node2	CacheMisses	0
36	Node3	CacheHits	0
36	Node3	CacheMisses	0
36	Node4	CacheHits	0
36	Node4	CacheMisses	793
36	Node5	CacheHits	0
36	Node5	CacheMisses	0
36	Node6	CacheHits	0
36	Node6	CacheMisses	0
36	Node7	CacheHits	0
36	Node7	CacheMisses	794
36	Node8	CacheHits	0
36	Node8	CacheMisses	814
37	Node0	CacheHits	0
37	Node0	CacheMisses	819
37	Node1	CacheHits	146
37	Node1	CacheMisses	775
37	Node2	CacheHits	0
37	Node2	CacheMisses	0
37	Node3	CacheHits	0
37	Node3	CacheMisses	0
37	Node4	CacheHits	0
37	Node4	CacheMisses	770
37	Node5	CacheHits	0
37	Node5	CacheMisses	0
37	Node6	CacheHits	0
37	Node6	CacheMisses	0
37	Node7	CacheHits	0
37	Node7	CacheMisses	774
37	Node8	CacheHits	0
37	Node8	CacheMisses	785
38	Node0	CacheHits	0
38	Node0	CacheMisses	855
38	Node1	CacheHits	167
38	Node1	CacheMisses	788
38	Node2	CacheHits	0
38	Node2	CacheMisses	0
38	Node3	CacheHits	0
38	Node3	CacheMisses	0
38	Node4	CacheHits	0
38	Node4	CacheMisses	793
38	Node5	CacheHits	0
38	Node5	CacheMisses	0
38	Node6	CacheHits	0
38	Node6	CacheMisses	0
38	Node7	CacheHits	1
38	Node7	CacheMisses	792
38	Node8	CacheHits	0
38	Node8	CacheMisses	808
39	Node0	CacheHits	0
39	Node0	CacheMisses	812
39	Node1	CacheHits	169
39	Node1	CacheMisses	753
39	Node2	CacheHits	0
39	Node2	CacheMisses	0
39	Node3	CacheHits	0
39	Node3	CacheMisses	0
39	Node4	CacheHits	0
39	Node4	CacheMisses	755
39	Node5	CacheHits	0
39	Node5	CacheMisses	0
39	Node6	CacheHits	0
39	Node6	CacheMisses	0
39	Node7	CacheHits	0
39	Node7	CacheMisses	754
39	Node8	CacheHits	0
39	Node8	CacheMisses	769
40	Node0	CacheHits	0
40	Node0	CacheMisses	817
40	Node1	CacheHits	164
40	Node1	CacheMisses	762
40	Node2	CacheHits	0
40	Node2	CacheMisses	0
40	Node3	CacheHits	0
40	Node3	CacheMisses	0
40	Node4	CacheHits	0
40	Node4	CacheMisses	759
40	Node5	CacheHits	0
40	Node5	CacheMisses	0
40	Node6	CacheHits	0
40	Node6	CacheMisses	0
40	Node7	CacheHits	0
40	Node7	CacheMisses	759
40	Node8	CacheHits	0
40	Node8	CacheMisses	772
41	Node0	CacheHits	0
41	Node0	CacheMisses	808
41	Node1	CacheHits	155
41	Node1	CacheMisses	758
41	Node2	CacheHits	0
41	Node2	CacheMisses	0
41	Node3	CacheHits	0
41	Node3	CacheMisses	0
41	Node4	CacheHits	0
41	Node4	CacheMisses	759
41	Node5	CacheHits	0
41	Node5	CacheMisses	0
41	Node6	CacheHits	0
41	Node6	CacheMisses	0
41	Node7	CacheHits	0
41	Node7	CacheMisses	756
41	Node8	CacheHits	0
41	Node8	CacheMisses	765
42	Node0	CacheHits	0
42	Node0	CacheMisses	820
42	Node1	CacheHits	186
42	Node1	CacheMisses	740
42	Node2	CacheHits	0
42	Node2	CacheMisses	0
42	Node3	CacheHits	0
42	Node3	CacheMisses	0
42	Node4	CacheHits	0
42	Node4	CacheMisses	736
42	Node5	CacheHits	0
42	Node5	CacheMisses	0
42	Node6	CacheHits	0
42	Node6	CacheMisses	0
42	Node7	CacheHits	0
42	Node7	CacheMisses	739
42	Node8	CacheHits	0
42	Node8	CacheMisses	748
43	Node0	CacheHits	0
43	Node0	CacheMisses	804
43	Node1	CacheHits	151
43	Node1	CacheMisses	748
43	Node2	CacheHits	0
43	Node2	CacheMisses	0
43	Node3	CacheHits	0
43	Node3	CacheMisses	0
43	Node4	CacheHits	0
43	Node4	CacheMisses	753
43	Node5	CacheHits	0
43	Node5	CacheMisses	0
43	Node6	CacheHits	0
43	Node6	CacheMisses	0
43	Node7	CacheHits	0
43	Node7	CacheMisses	749
43	Node8	CacheHits	0
43	Node8	CacheMisses	750
44	Node0	CacheHits	0
44	Node0	CacheMisses	824
44	Node1	CacheHits	163
44	Node1	CacheMisses	756
44	Node2	CacheHits	0
44	Node2	CacheMisses	0
44	Node3	CacheHits	0
44	Node3	CacheMisses	0
44	Node4	CacheHits	0
44	Node4	CacheMisses	754
44	Node5	CacheHits	0
44	Node5	CacheMisses	0
44	Node6	CacheHits	0
44	Node6	CacheMisses	0
44	Node7	CacheHits	0
44	Node7	CacheMisses	758
44	Node8	CacheHits	0
44	Node8	CacheMisses	767
45	Node0	CacheHits	0
45	Node0	CacheMisses	823
45	Node1	CacheHits	162
45	Node1	CacheMisses	762
45	Node2	CacheHits	0
45	Node2	CacheMisses	0
45	Node3	CacheHits	0
45	Node3	CacheMisses	0
45	Node4	CacheHits	0
45	Node4	CacheMisses	762
45	Node5	CacheHits	0
45	Node5	CacheMisses	0
45	Node6	CacheHits	0
45	Node6	CacheMisses	0
45	Node7	CacheHits	1
45	Node7	CacheMisses	759
45	Node8	CacheHits	0
45	Node8	CacheMisses	771
46	Node0	CacheHits	0
46	Node0	CacheMisses	829
46	Node1	CacheHits	177
46	Node1	CacheMisses	748
46	Node2	CacheHits	0
46	Node2	CacheMisses	0
46	Node3	CacheHits	0
46	Node3	CacheMisses	0
46	Node4	CacheHits	0
